run_id,cpu_vendor,cpu_cores,cpu_threads,cpu_frequency_khz,cpu_architecture,ram_total_bytes,ram_available_bytes,ram_type,gpu_count,gpu_0_name,gpu_0_vendor,gpu_0_vram_gb,gpu_1_name,gpu_1_vendor,gpu_1_vram_gb,disk_total_gb,disk_free_gb,disk_filesystem,host_os_name,is_docker_used,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,checkpoint_interval,keep_checkpoints,even_checkpoints,normalize,hidden_units,num_layers,vis_encode_type,memory,goal_conditioning_type,deterministic,extrinsic_gamma,extrinsic_strength,init_path,threaded,max_steps,time_horizon,summary_freq,self_play,behavioral_cloning,time_start,time_end,total_steps,total_duration
3DBall_ppo_1768137174,Intel,6,12,2688000,x86,16905977856,2826838016,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,99.725,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768137178,1768137488,491763,310
3DBall_ppo_1768141722,Intel,6,12,2688000,x86,16905977856,4053671936,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,99.446,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768141726,1768142039,491925,313
3DBall_ppo_1768143881,Intel,6,12,2688000,x86,16905977856,4226818048,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,99.467,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768143885,1768144192,491173,307
3DBall_ppo_1768144256,Intel,6,12,2688000,x86,16905977856,4399235072,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,99.457,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768144261,1768144573,491278,312
3DBall_ppo_1768295475,Intel,6,12,2688000,x86,16905977856,6835027968,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,98.626,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768295481,1768295814,491898,333
3DBall_ppo_1768295978,Intel,6,12,2688000,x86,16905977856,4204843008,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,98.41,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768295982,1768296307,491510,325
3DBall_ppo_1768298613,Intel,6,12,2688000,x86,16905977856,6080946176,DDR4,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,NVIDIA,4,,,,475.284,98.3,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,1768298617,1768298935,491193,318
3DBall_ppo_1768078280,AMD,8,16,3593000,x86,17090338816,1987715072,DDR4,1,NVIDIA GeForce RTX 2070 SUPER,NVIDIA,8,,,,465.132,179.133,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,,,1264838,821
3DBall_ppo_1768078512,AMD,8,16,3593000,x86,17090338816,1541713920,DDR4,1,NVIDIA GeForce RTX 2070 SUPER,NVIDIA,8,,,,465.132,178.963,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,,,1266879,822
3DBall_ppo_1768081982,AMD,8,16,3593000,x86,17090338816,2446626816,DDR4,1,NVIDIA GeForce RTX 2070 SUPER,NVIDIA,8,,,,465.132,180.668,NTFS,win32,FALSE,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,TRUE,128,2,simple,,,,0.99,1,,,5000000,1000,12000,,,,,1264355,1046
