run_id,cpu_cores,cpu_threads,cpu_frequency_khz,ram_total_bytes,ram_available_bytes,gpu_count,gpu_0_name,gpu_0_vendor,gpu_0_vram_gb,gpu_1_name,gpu_1_vendor,gpu_1_vram_gb,disk_total_gb,disk_free_gb,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,shared_critic,beta_schedule,epsilon_schedule,checkpoint_interval,keep_checkpoints,even_checkpoints,hidden_units,num_layers,memory,goal_conditioning_type,deterministic,extrinsic_gamma,extrinsic_strength,init_path,threaded,max_steps,time_horizon,summary_freq,self_play,behavioral_cloning,time_start,time_end,total_steps,cpu_vendor_Apple,cpu_architecture_ARM,ram_type_LPDDR5,disk_filesystem_apfs,host_os_name_darwin,is_docker_used_False,trainer_type_ppo,learning_rate_schedule_linear,normalize_True,vis_encode_type_simple,total_duration
3DBall_ppo_1767874803,0.0,0.0,0.0,0.0,38.93674624661578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81933256616782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,478.0
3DBall_ppo_1767875427,0.0,0.0,0.0,0.0,74.80984025409327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.82010655227289,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671962557338702,0.16419746480096364,66.57077100115032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,469.0
3DBall_ppo_1767876359,0.0,0.0,0.0,0.0,49.48607057885921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33577803916143,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4175880800175946,0.413970155568677,69.82163406213999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,470.0
3DBall_ppo_1767877626,0.0,0.0,0.0,0.0,58.13438346049722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3671210129385,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757348047409323,0.7525271433223679,68.41196777905623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,470.0
3DBall_ppo_1767879095,0.0,0.0,0.0,0.0,46.851376533877165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.12495675638276,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1515876935845881,1.145103492490307,66.59953970080608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,469.0
3DBall_ppo_1767879697,0.0,0.0,0.0,0.0,56.54395649473179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.96582024493186,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131481203345174,1.3076964218271314,51.47871116225531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,475.0
3DBall_ppo_1767880274,0.0,0.0,0.0,0.0,84.89856193523435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.04884799003668,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.467999227133987,1.4611969834732008,67.5776754890677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,472.0
3DBall_ppo_1767881048,0.0,0.0,0.0,0.0,82.88269282608445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1733896076939,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.675719775903417,1.668984328989609,77.94016110471773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,475.0
3DBall_ppo_1767881825,0.0,0.0,0.0,0.0,35.560165488789686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4814917318204,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8845138159122143,1.876504251958977,78.80897583429203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,473.0
3DBall_ppo_1767882601,0.0,0.0,0.0,0.0,53.269341209287106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43997785926797,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092502737468749,2.083756752381305,73.2623705408514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,473.0
3DBall_ppo_1767883376,0.0,0.0,0.0,0.0,75.71346530243899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9316404898637,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3004916590252833,2.2902069850715634,67.28423475259007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,470.0
3DBall_ppo_1767885542,0.0,0.0,0.0,0.0,35.214420496232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.31218432159415,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8817871481805923,2.8699791409962927,69.55120828538526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,472.0
3DBall_ppo_1767886316,0.0,0.0,0.0,0.0,37.61236712258125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.793260914689,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.089776069737127,3.0761619510485616,75.68469505178399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,468.0
3DBall_ppo_1767888050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.78634193593028,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.555134508496849,3.6281221586250467,76.09321058688181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,798.0
3DBall_ppo_1767889152,0.0,0.0,0.0,0.0,26.175825978927136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.55801563689201,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8506129635607067,3.8351072364093852,64.7238204833144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,471.0
3DBall_ppo_1767889925,0.0,0.0,0.0,0.0,12.050678011790517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.03909222998688,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.058065139452083,4.0402203561825445,55.16685845799856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,465.0
3DBall_ppo_1767891654,0.0,0.0,0.0,0.0,38.215955838402316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.06393136373072,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.522081714185333,4.572391292731481,59.00460299194492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,726.0
3DBall_ppo_1767892683,0.0,0.0,0.0,0.0,41.00770015119019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.10260845499205,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.798237327486277,4.84810397383626,63.87802071346442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,728.0
3DBall_ppo_1767893714,0.0,0.0,0.0,0.0,28.842164480855104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.01674392859613,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.074929686361429,5.126490880866186,84.827387802072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,738.0
3DBall_ppo_1767894755,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.82827094720821,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.354305773289525,5.935711611437,68.1818181818187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2723.0
3DBall_ppo_1767898751,0.0,0.0,0.0,0.0,55.153944422957494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3402753753546,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.426723490221775,6.470556773820135,67.09436133486832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727.0
3DBall_ppo_1767899780,0.0,0.0,0.0,0.0,48.63167024131832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19905901888883,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.702879103431769,6.740118735615397,60.42577675489156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,706.0
3DBall_ppo_1767900788,0.0,0.0,0.0,0.0,53.24707288773256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.70331419082545,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.973667260717775,7.0099481199576985,87.20368239355594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,706.0
3DBall_ppo_1767901797,0.0,0.0,0.0,0.0,50.39672772874839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.25399571023316,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.244187045125727,7.323099962559354,67.66973532796356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,869.0
3DBall_ppo_1767902969,0.0,0.0,0.0,0.0,50.919447276818715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.99474157614335,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.558719969165395,7.600417179219221,70.95512082853901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,734.0
3DBall_ppo_1767904006,0.0,0.0,0.0,0.0,50.24670956248612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.12336539126827,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.837022564854124,7.879338931343227,66.55350978135743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,740.0
3DBall_ppo_1767905049,0.0,0.0,0.0,0.0,91.15596029206668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.34352729537123,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.116935397356428,8.155586457723984,68.0034522439584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,730.0
3DBall_ppo_1767906081,0.0,0.0,0.0,0.0,79.03847731561244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.23690583269911,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.393896129018685,8.41926512275677,80.6616800920608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,684.0
3DBall_ppo_1767907067,0.0,0.0,0.0,0.0,51.62031339732547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.60402684563759,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.658511711837491,8.695512649046577,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,731.0
3DBall_ppo_1767908101,0.0,0.0,0.0,0.0,54.57848411331065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.83844184598355,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.936009189164906,8.972295020521415,49.982738780207114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,732.0
3DBall_ppo_1767909135,0.0,0.0,0.0,0.0,51.36246967406208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.75949629834639,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.213775039188477,9.248275124355132,67.675489067895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,729.0
3DBall_ppo_1767927215,0.0,0.0,0.0,0.0,43.41971098062656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.00207569362762,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.065686927096976,14.01347809805884,73.67663981588066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,469.0
3DBall_ppo_1767934803,0.0,0.0,0.0,0.0,57.15457731209641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.98131875735143,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.102099748877663,18.491736642226897,54.15420023014974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9627.0
3DBall_ppo_1767951902,0.0,0.0,0.0,0.0,70.83435884814176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.75299245831316,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.691006290689984,23.94475049468383,53.53855005753729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12919.0
3DBall_ppo_1768181665,0.0,0.0,0.0,0.0,14.404087995030679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1208745589151026,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.35341477557085,82.07172273623655,60.56386651323322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,515.0
3DBall_ppo_1768182483,0.0,0.0,0.0,0.0,50.55846606424996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1623884314675093,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.57267535482242,82.2904744076368,66.78941311852782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,516.0
3DBall_ppo_1768183301,0.0,0.0,0.0,0.0,40.50256085697876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.148550473950044,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7922043068611,82.508691233852,71.4614499424627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,514.0
3DBall_ppo_1768184117,0.0,0.0,0.0,0.0,54.56324789329958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.127793537673838,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.01119651332556,82.72824517298432,78.71691599539758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,519.0
3DBall_ppo_1768184938,0.0,0.0,0.0,0.0,55.46452890779747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1070366013976318,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.2315305838165,82.94646199919953,76.89298043728456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,514.0
3DBall_ppo_1768185754,0.0,0.0,0.0,0.0,57.19090983673807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1762263889849855,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.45052279028096,83.16494624805273,75.36823935558203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,515.0
3DBall_ppo_1768186572,0.0,0.0,0.0,0.0,57.31865968144581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1416314951913142,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.67005174231963,83.38343049681498,89.08515535097905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,514.0
3DBall_ppo_1768187388,0.0,0.0,0.0,0.0,54.96524969820564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0862796651214313,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.88904394878409,83.60218216821522,76.74338319908003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,516.0
3DBall_ppo_1768188206,0.0,0.0,0.0,0.0,62.944340916282826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0655227288452251,48.38709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.10857290082276,83.82093383961546,59.108170310702235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,516.0
