gpu_load,cpu_load,ram_usage_gb,disk_io_mb,screen_res,fps,runtime
0.85,0.72,6.1,120,1080,58,12.5
0.90,0.65,5.8,80,720,75,10.1
0.45,0.30,3.2,40,1080,120,7.2
0.60,0.55,4.1,60,1440,90,9.0
0.70,0.40,3.5,30,720,110,8.1
0.95,0.88,7.5,150,1080,40,16.8
0.20,0.25,2.0,20,720,140,6.5
0.50,0.45,3.0,35,1080,100,8.3
0.75,0.60,4.8,55,1440,80,11.4
0.30,0.35,2.5,25,720,135,6.9
0.82,0.70,5.9,95,1080,65,12.0
0.55,0.50,3.8,45,1440,85,9.8
0.40,0.32,2.9,28,720,125,7.3
0.88,0.77,6.4,130,1080,50,14.9
0.66,0.48,4.0,70,1440,95,9.4
