model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
xgboost,xgboost_regressor,1,cpu_cores,234.4094601065144,54947.79498742756,2.053102501008192e-06,55379.91493480026,100.0,3.0,,
xgboost,xgboost_regressor,1,cpu_cores,233.88413706773125,54701.7895719173,1.9958305616288693e-06,55148.132319504824,100.0,5.0,,
xgboost,xgboost_regressor,1,cpu_cores,233.8895748673522,54704.33323163075,1.7432548739166878e-06,55223.268482009305,100.0,10.0,,
xgboost,xgboost_regressor,1,cpu_cores,234.15940440274213,54830.62667024693,2.108122173108553e-06,55250.15185310049,500.0,3.0,,
xgboost,xgboost_regressor,1,cpu_cores,234.0479339754495,54778.43539817637,1.8787126631228386e-06,55255.93633664358,500.0,5.0,,
xgboost,xgboost_regressor,1,cpu_cores,234.93945637806252,55196.548163219544,1.8680948316648742e-06,55676.656345335345,500.0,10.0,,
xgboost,xgboost_regressor,1,cpu_cores,234.61962200696033,55046.36703068894,2.278650981372828e-06,55430.176815027924,1000.0,3.0,,
xgboost,xgboost_regressor,1,cpu_cores,233.98798634722638,54750.377754829795,2.4105694934263244e-06,55110.46710798794,1000.0,5.0,,
xgboost,xgboost_regressor,1,cpu_cores,233.77635503123557,54651.384171690304,2.8230561579448168e-06,54950.958826269474,1000.0,10.0,,
linear_regression,ridge_regression,1,cpu_cores,235.82612585455757,55613.961635569634,3.2110896348631496e-07,58672.55535329278,,,0.1,
linear_regression,ridge_regression,1,cpu_cores,235.5053017809551,55462.74716693874,2.9054247898611464e-07,58849.12192143293,,,1.0,
linear_regression,ridge_regression,1,cpu_cores,235.8535783266866,55626.910409502496,2.8475093455449774e-07,59083.12447536418,,,10.0,
ensemble,random_forest,1,cpu_cores,234.58516828330255,55030.20117850538,6.221405729430246e-06,55135.90635506788,50.0,5.0,,2.0
ensemble,random_forest,1,cpu_cores,233.94520911817125,54730.36086934487,6.057311970534434e-06,54840.72023884841,50.0,5.0,,5.0
ensemble,random_forest,1,cpu_cores,233.68542687192496,54608.878732313795,6.372629389589132e-06,54711.19095143062,50.0,5.0,,10.0
ensemble,random_forest,1,cpu_cores,233.99416641624896,54753.26991683521,6.004544565713035e-06,54865.057171192304,50.0,10.0,,2.0
ensemble,random_forest,1,cpu_cores,233.82539195967803,54674.31392509706,5.826615450675027e-06,54791.265833713245,50.0,10.0,,5.0
ensemble,random_forest,1,cpu_cores,234.62279430482042,55047.85560740207,5.923141191201976e-06,55161.63708874942,50.0,10.0,,10.0
